
==============================================
 MINIRISC V2 - RANDOM PROGRAM GENERATOR
==============================================
Seed                = 2026
Random instructions = 25
Total instructions  = 34

000 | 0001000000111100 | LDI R0, 60
001 | 0001001010100011 | LDI R1, 163
002 | 0001010000110100 | LDI R2, 52
003 | 0001011001110010 | LDI R3, 114
004 | 0001100011010111 | LDI R4, 215
005 | 0001101011111011 | LDI R5, 251
006 | 0001110011100001 | LDI R6, 225
007 | 0001111001111010 | LDI R7, 122
008 | 0001001000111000 | LDI R1, 56
009 | 0101001111000000 | AND R1, R7
010 | 0001111010100000 | LDI R7, 160
011 | 0100110100000000 | SUB R6, R4
012 | 0110101110000000 | OR R5, R6
013 | 0000000000000000 | NOP
014 | 0010101001000000 | MOV R5, R1
015 | 0000000000000000 | NOP
016 | 0000000000000000 | NOP
017 | 0101100111000000 | AND R4, R7
018 | 0011100000000000 | ADD R4, R0
019 | 0110101111000000 | OR R5, R7
020 | 0111001110000000 | XOR R1, R6
021 | 0000000000000000 | NOP
022 | 1100001110000000 | CMP R1, R6
023 | 0000000000000000 | NOP
024 | 1100110100000000 | CMP R6, R4
025 | 0111111000000000 | XOR R7, R0
026 | 0100010000000000 | SUB R2, R0
027 | 0000000000000000 | NOP
028 | 0010110111000000 | MOV R6, R7
029 | 0011111011000000 | ADD R7, R3
030 | 0010111111000000 | MOV R7, R7
031 | 0000000000000000 | NOP
032 | 0101110100000000 | AND R6, R4
033 | 1111000000000000 | HALT

Written: programs/random_cpu_test.mem
Written: programs/random_cpu_test.asm
==============================================
